"corpus","deu_news_2008_10K"
"subcorpus","-"
Item,Frequency
".",9999
",",7852
"der",6699
"die",5040
"und",3195
"""",2931
"das",2603
"in",2602
"den",1957
"von",1616
"auf",1605
"mit",1467
"zu",1323
"für",1266
"im",1263
"ist",1212
"sich",1184
"auch",1161
"dem",1063
"des",1021
"nicht",970
"ein",961
"bei",935
"am",920
"als",882
"eine",857
"es",833
"an",823
"(",817
")",799
"aus",686
"dass",635
":",629
"hat",613
"um",597
"aber",576
"nach",569
"werden",560
"er",543
"-",543
"sie",523
"einem",523
"wird",493
"über",483
"einen",477
"sind",468
"einer",455
"vor",447
"noch",424
"wie",420
"war",417
"wir",407
"haben",391
"sagte",381
"bis",380
"zum",375
"euro",367
"nur",360
"so",354
"prozent",345
"ich",308
"man",292
"mehr",288
"hatte",284
"sein",275
"wurde",267
"sei",264
"zur",262
"damit",255
"oder",242
"gegen",241
"kann",229
"durch",226
"da",220
"schon",220
"vom",217
"beim",216
"sagt",214
"habe",211
"unter",210
"dann",209
"soll",208
"dabei",201
"denn",200
"seine",188
"bereits",188
"jahr",184
"wieder",179
"uhr",178
"ab",177
"alle",165
"wenn",165
"können",162
"millionen",160
"allerdings",160
"worden",158
"immer",157
"keine",155
"ihre",154
"seit",154
"will",152
"neue",150
"zwei",149
"gibt",147
"was",146
"ersten",143
"waren",138
"rund",137
"sehr",137
"seiner",134
"jahren",132
"uns",132
"muss",132
"''",131
"jetzt",130
"dieser",129
"neuen",128
"deutschland",126
"jahre",125
"ende",125
"diese",122
"eines",121
"berlin",121
"zwischen",119
"heute",118
"weiter",116
"sowie",115
"diesem",113
"unternehmen",113
"nun",111
";",110
"dazu",109
"deutschen",108
"geht",108
"seinen",107
"gut",106
"wurden",106
"dollar",105
"außerdem",105
"drei",105
"dafür",105
"2008",104
"doch",104
"deutsche",102
"!",100
"menschen",100
"seien",99
"müssen",97
"mal",95
"viel",94
"?",94
"ins",94
"ohne",94
"selbst",94
"hatten",94
"andere",93
"zeit",93
"machen",93
"deshalb",92
"werde",92
"derzeit",92
"beiden",91
"wegen",91
"",91
"seinem",90
"milliarden",90
"weil",88
"alles",87
"etwas",87
"sondern",87
"ihr",85
"wollen",85
"freitag",85
"ihrer",84
"viele",84
"steht",83
"vier",82
"erklärte",82
"sollen",81
"ganz",81
"2007",81
"ihren",80
"ihm",80
"davon",79
"mann",79
"montag",78
"kommt",78
"etwa",77
"großen",77
"hier",76
"fast",76
"dpa",75
"anderen",74
"einmal",74
"allem",74
"erste",74
"mio",73
"kein",73
"gab",72
"vergangenen",72
"kommen",72
"ihn",72
"bisher",72
"sehen",72
"konnte",70
"besonders",69
"also",69
"punkte",69
"würde",68
"nichts",68
"fünf",68
"erst",68
"jedoch",67
"große",67
"stehen",66
"liegt",66
"zwar",65
"zurück",65
"ob",65
"usa",65
"letzten",65
"sollte",64
"lassen",63
"darauf",63
"ja",62
"deutlich",61
"donnerstag",61
"darüber",61
"mir",61
"zweiten",60
"beide",60
"mich",60
"während",59
"wäre",59
"dort",59
"könnte",59
"polizei",59
"heißt",59
"knapp",58
"20",58
"mittwoch",58
"lange",57
"weg",57
"dienstag",57
"samstag",57
"macht",56
"spiel",56
"stadt",56
"bank",56
"gilt",56
"dieses",56
"danach",56
"gegenüber",56
"hätten",56
"allein",56
"sonntag",55
"musste",55
"würden",54
"angaben",54
"ihrem",54
"einige",54
"geld",54
"50",53
"dagegen",53
"dennoch",53
"wo",52
"eur",52
"leben",52
"woche",52
"weiteren",52
"tag",52
"ergebnis",52
"zufolge",52
"keinen",51
"unsere",51
"aktie",51
"zusammen",51
"gestern",51
"einfach",51
"land",51
"diesen",51
"000",50
"statt",50
"daher",50
"30",50
"fall",50
"sieht",50
"markt",50
"weitere",50
"stand",49
"platz",49
"2006",49
"geben",49
"laut",49
"bleibt",49
"weniger",49
"mrd",49
"internet",49
"gehen",49
"ging",48
"ebenfalls",48
"umsatz",48
"anfang",48
"november",48
"zehn",48
"spd",47
"treffen",47
"allen",47
"pro",47
"natürlich",47
"bislang",46
"eigenen",46
"gewesen",46
"kaum",46
"kinder",46
"2009",46
"oktober",46
"lässt",45
"michael",45
"teil",45
"team",45
"beispiel",45
"zeigt",45
"kam",45
"klar",45
"juni",44
"gemacht",44
"dies",44
"hätte",44
"fest",44
"anderem",44
"wohl",43
"aufgrund",43
"damals",43
"frau",42
"gute",42
"angesichts",42
"denen",42
"januar",42
"spielen",42
"junge",41
"erneut",41
"arbeiten",41
"bekannt",41
"zahlen",40
"bin",40
"je",40
"aller",40
"erklärt",40
"insgesamt",40
"wollte",39
"könne",39
"nie",39
"besser",39
"gar",39
"bereich",39
"künftig",39
"15",39
"abend",39
"fc",39
"auto",39
"cdu",39
"punkten",38
"sofort",38
"findet",38
"gerade",38
"wert",38
"frage",38
"dürfte",38
"welt",38
"juli",38
"erhalten",38
"vielen",38
"bayern",38
"regierung",38
"acht",38
"sechs",38
"bild",38
"kosten",37
"spieler",37
"gegeben",37
"einsatz",37
"möglich",37
"problem",37
"entwicklung",37
"stellen",37
"ag",37
"teilte",37
"leicht",37
"bietet",37
"zukunft",36
"wochen",36
"saison",36
"stark",36
"september",36
"straße",36
"monaten",36
"schnell",36
"internationalen",36
"kommenden",36
"preis",36
"münchen",36
"wirklich",36
"trainer",35
"grund",35
"100",35
"quartal",35
"märz",35
"new",35
"könnten",35
"hinaus",35
"berliner",35
"hinter",35
"finden",35
"bürgermeister",35
"1.",34
"ließ",34
"anders",34
"präsident",34
"demnach",34
"jeder",34
"nehmen",34
"neben",34
"eher",34
"schwer",34
"kunden",34
"oft",34
"sicher",34
"mitarbeiter",33
"mannschaft",33
"merkel",33
"sogar",33
"dezember",33
"mai",33
"wenig",33
"europäischen",33
"dritten",33
"banken",33
"müsse",33
"kleinen",33
"weiterhin",33
"arbeit",33
"zeitung",33
"alte",33
"dadurch",33
"jungen",32
"meine",32
"höhe",32
"später",32
"ihnen",32
"yahoo",32
"deren",32
"nächsten",32
"zudem",32
"darf",32
"zunächst",32
"gehört",32
"berichtet",32
"erwartet",32
"hoch",32
"guten",31
"dessen",31
"peter",31
"stunden",31
"14",31
"zuvor",31
"thema",31
"aktien",31
"letzte",31
"zweite",31
"«wir",31
"recht",31
"hohen",31
"sprecher",31
"probleme",31
"europa",31
"august",31
"seite",31
"mindestens",31
"april",31
"berichtete",30
"weiß",30
"gebracht",30
"besten",30
"40",30
"konnten",30
"tun",30
"daran",30
"zeigte",30
"titel",30
"1",30
"dank",30
"stellt",30
"beispielsweise",30
"analysten",30
"düsseldorf",30
"partei",30
"zuletzt",30
"erfolg",30
"minus",30
"stieg",30
"sieg",30
"besucher",30
"richtung",29
"bleiben",29
"hieß",29
"scheint",29
"februar",29
"china",29
"paar",29
"verletzt",29
"plus",29
"direkt",29
"fahrer",29
"mitte",29
"morgen",29
"«die",29
"erster",29
"projekt",28
"sicht",28
"weit",28
"us-dollar",28
"konzern",28
"aktuell",28
"aktuellen",28
"sieben",28
"ländern",28
"unser",28
"mehrere",28
"of",28
"dax",28
"hält",28
"thomas",28
"russland",27
"zeigen",27
"frankfurt",27
"folgen",27
"nimmt",27
"lage",27
"eltern",27
"seines",27
"halten",27
"schließlich",27
"leute",27
"fahren",27
"angebot",27
"bringt",27
"per",27
"sorgen",27
"schweizer",27
"bad",27
"–",27
"gleich",26
"bekommen",26
"sollten",26
"gestellt",26
"täter",26
"geworden",26
"wirtschaft",26
"welche",26
"wochenende",26
"anschließend",26
"zwölf",26
"bringen",26
"jeden",26
"genommen",26
"bisherigen",26
"dr",26
"ort",26
"christian",26
"zumindest",26
"sowohl",26
"eigentlich",26
"fehler",25
"voll",25
"weltweit",25
"nachdem",25
"solche",25
"universität",25
"de",25
"frauen",25
"blick",25
"die",25
"schritt",25
"liegen",25
"ziel",25
"opfer",25
"3",25
"inzwischen",25
"amerikanische",25
"vorjahr",25
"a",25
"alten",25
"darunter",25
"chef",24
"entscheidung",24
"überhaupt",24
"handel",24
"stimmen",24
"betonte",24
"usd",24
"programm",24
"25",24
"gehören",24
"gewinn",24
"vergleich",24
"minuten",24
"beginnt",24
"gekommen",24
"größten",24
"wir",24
"gericht",24
"film",24
"erreichen",24
"hin",24
"unterwegs",24
"trotz",24
"zahl",24
"genau",24
"haus",24
"wissen",24
"obama",24
"stellte",24
"erreicht",23
"namen",23
"verloren",23
"sommer",23
"tagen",23
"rolle",23
"19",23
"verschiedenen",23
"beste",23
"daraufhin",23
"spielt",23
"s",23
"verlor",23
"offenbar",23
"tor",23
"ganze",23
"geschichte",23
"lang",23
"erstmals",23
"daten",23
"wasser",23
"situation",23
"rahmen",23
"unserer",23
"2",23
"dürfen",23
"lag",23
"meter",23
"eben",23
"wer",22
"hamburg",22
"neues",22
"bund",22
"groß",22
"500",22
"hamburger",22
"grünen",22
"solle",22
"ots",22
"möglichkeit",22
"druck",22
"partner",22
"kreis",22
"kurz",22
"brauchen",22
"fiel",22
"sicherheit",22
"setzt",22
"braucht",22
"hand",22
"bekommt",22
"innerhalb",21
"außenminister",21
"70",21
"britische",21
"anderer",21
"/",21
"monat",21
"brüssel",21
"2010",21
"neun",21
"tage",21
"überzeugt",21
"informationen",21
"verkauf",21
"2005",21
"darin",21
"nämlich",21
"setzen",21
"gewinnen",21
"unterstützung",21
"wahl",21
"sache",21
"stelle",21
"monate",21
"bevor",21
"finanzkrise",21
"jahres",21
"spricht",21
"österreich",21
"steigen",21
"york",21
"ernst",21
"hilfe",21
"bürger",21
"autos",21
"kilometer",21
"einigen",21
"handelt",20
"11",20
"80",20
"bericht",20
"spiele",20
"politische",20
"betroffen",20
"qualität",20
"all",20
"forderte",20
"reihe",20
"angela",20
"öffentlichen",20
"länder",20
"wolfgang",20
"weise",20
"politiker",20
"wahrscheinlich",20
"beginn",20
"neu",20
"geführt",20
"rennen",20
"&",20
"olympischen",20
"nutzen",20
"union",20
"peking",20
"fans",20
"ebenso",20
"parlament",20
"16",20
"bestätigte",20
"soldaten",20
"bald",20
"vielleicht",19
"zusammenarbeit",19
"sah",19
"wichtig",19
"starken",19
"kind",19
"seiten",19
"wenige",19
"erhöht",19
"ich",19
"mutter",19
"gesamten",19
"gesellschaft",19
"kleine",19
"das",19
"spitze",19
"schlecht",19
"offen",19
"präsentiert",19
"steinmeier",19
"schweiz",19
"start",19
"zog",19
"jede",19
"vorsitzende",19
"27",19
"aufgabe",19
"%",19
"international",19
"fr",19
"bereit",19
"gemeinsam",19
"region",19
"politik",19
"zeiten",19
"firma",19
"sprach",19
"24",19
"gefahr",19
"legte",19
"bestätigt",19
"ähnlich",19
"eu",19
"müssten",19
"chancen",19
"geschäft",19
"eigene",19
"es",19
"beteiligt",19
"verantwortlich",18
"darum",18
"niemand",18
"andererseits",18
"«es",18
"18",18
"4",18
"frankreich",18
"urteil",18
"müller",18
"angst",18
"online",18
"erwarten",18
"erzählt",18
"runde",18
"lösung",18
"vorstand",18
"the",18
"landes",18
"chf",18
"gefunden",18
"«das",18
"vertrag",18
"medien",18
"ebit",18
"führt",18
"niederlage",18
"frei",18
"obwohl",18
"krankenhaus",18
"10",18
"bieten",18
"laufen",18
"überraschend",18
"koalition",18
"mögliche",18
"vertrauen",18
"gruppe",18
"wollten",18
"du",18
"ehemalige",18
"besuch",18
"amt",18
"liga",18
"augen",18
"verfügt",18
"rang",18
"krise",18
"stefan",18
"bedeutung",18
"liege",18
"setzte",18
"legt",18
"verband",17
"verfügung",17
"ausstellung",17
"chance",17
"russische",17
"endlich",17
"entschieden",17
"franken",17
"nacht",17
"vertreter",17
"anlass",17
"aktion",17
"andreas",17
"sagen",17
"ausbau",17
"st",17
"erhielt",17
"männer",17
"studie",17
"verfahren",17
"bilder",17
"anteil",17
"besteht",17
"preise",17
"stück",17
"90",17
"verhandlungen",17
"gelegenheit",17
"fragen",17
"nächste",17
"gerät",17
"raum",17
"kamen",17
"vorbei",17
"17",17
"martin",17
"marke",17
"musik",17
"wolle",17
"hause",17
"fällt",17
"meisten",17
"beck",17
"mein",17
"sitzung",17
"sender",17
"200",17
"stimmung",17
"unterstützt",17
"gesetz",17
"bevölkerung",17
"kurs",17
"angekündigt",17
"gespräch",17
"prognose",17
"bedeutet",17
"schreibt",17
"erfolgreich",17
"internationale",17
"folge",17
"schaffen",17
"anstieg",17
"gesagt",17
"60",17
"gespielt",17
"jürgen",17
"software",17
"meinte",17
"zahlreichen",16
"verliert",16
"basis",16
"bahn",16
"jedem",16
"gebe",16
"folgt",16
"anleger",16
"entscheiden",16
"schüler",16
"ministerpräsident",16
"verlassen",16
"schloss",16
"übernahme",16
"meint",16
"einzige",16
"tsv",16
"2.",16
"nummer",16
"google",16
"arbeitsplätze",16
"hohe",16
"läuft",16
"machte",16
"nachmittag",16
"punkt",16
"22",16
"tat",16
"verein",16
"sv",16
"hauptstadt",16
"wären",16
"ausblick",16
"pkw",16
"auftritt",16
"wenigen",16
"größte",16
"experten",16
"interesse",16
"blieb",16
"börse",16
"jedes",16
"system",16
"andrea",16
"positiv",16
"jugendlichen",16
"kaufen",16
"ziemlich",16
"art",16
"feuerwehr",16
"gäste",16
"mag",16
"nahe",16
"«ich",16
"produktion",16
"meist",16
"bush",16
"polizisten",16
"entsprechend",16
"mussten",16
"heutigen",16
"voran",16
"dow",16
"post",16
"sprechen",16
"microsoft",16
"kündigte",16
"index",15
"linie",15
"manager",15
"ergebnisse",15
"vater",15
"gesperrt",15
"rückgang",15
"abgeschlossen",15
"begann",15
"erläutert",15
"möglicherweise",15
"halle",15
"gebäude",15
"alter",15
"barrel",15
"feuer",15
"geschlossen",15
"getötet",15
"gewann",15
"hervor",15
"suche",15
"13",15
"gerne",15
"aktuelle",15
"jones",15
"schwierig",15
"23",15
"übrigens",15
"finale",15
"beschäftigten",15
"stets",15
"jeweils",15
"arbeitet",15
"oben",15
"gesamte",15
"mehrheit",15
"standen",15
"entwickelt",15
"steuern",15
"tief",15
"familie",15
"hinzu",15
"fernsehen",15
"zunehmend",15
"erfolgt",15
"beschlossen",15
"beamten",15
"ii",15
"ölpreis",15
"leistung",15
"idee",15
"behörden",15
"ca",15
"betroffenen",15
"zähler",15
"köln",15
"trotzdem",14
"zuschauer",14
"vergangenheit",14
"ändern",14
"ihres",14
"4.",14
"bau",14
"mehreren",14
"mobile",14
"wetter",14
"besitzer",14
"möglichkeiten",14
"museum",14
"schrieb",14
"politischen",14
"nachfrage",14
"30.",14
"gaben",14
"öffentlichkeit",14
"bühne",14
"großes",14
"wkn",14
"kampf",14
"franz",14
"position",14
"rechnen",14
"freuen",14
"früher",14
"21.",14
"teilweise",14
"beträgt",14
"9",14
"linken",14
"wichtigen",14
"jüngsten",14
"gefordert",14
"sachschaden",14
"israel",14
"sanierung",14
"kunst",14
"bzw",14
"händler",14
"bundesregierung",14
"teilnehmer",14
"technischen",14
"kritik",14
"gleichen",14
"unternehmens",14
"mittlerweile",14
"2000",14
"nachrichtenagentur",14
"betont",14
"maßnahmen",14
"kollegen",14
"führung",14
"klaus",14
"nürnberg",14
"amerikanischen",14
"chinesischen",14
"3.",14
"kindern",14
"vermutlich",14
"gern",14
"verwaltung",14
"geschäftsführer",14
"lebt",14
"lesen",13
"laufenden",13
"windows",13
"daneben",13
"völlig",13
"apple",13
"lediglich",13
"lernen",13
"bauen",13
"publikum",13
"nutzer",13
"langen",13
"verzichten",13
"sekunden",13
"real",13
"her",13
"länger",13
"schaden",13
"außer",13
"alexander",13
"interview",13
"werner",13
"iphone",13
"russischen",13
"staat",13
"gegner",13
"veranstaltung",13
"streit",13
"stärker",13
"frank-walter",13
"teams",13
"angeboten",13
"günther",13
"tatsächlich",13
"betrieb",13
"partie",13
"brachte",13
"vorerst",13
"analyst",13
"tragen",13
"niveau",13
"auftrag",13
"nähe",13
"fordert",13
"veröffentlicht",13
"passiert",13
"2004",13
"daniel",13
"plan",13
"müsste",13
"öffentlich",13
"tritt",13
"sonst",13
"wichtige",13
"mensch",13
"gleichzeitig",13
"leider",13
"prozess",13
"versucht",13
"entstand",13
"7",13
"warum",13
"fußball",13
"fand",13
"wichtiger",13
"details",13
"tochter",13
"sport",13
"sohn",13
"bundeskanzlerin",13
"tore",13
"alt",13
"unverändert",13
"werte",13
"konzept",13
"kostenlos",13
"solchen",13
"eindruck",13
"lief",13
"links",13
"keiner",13
"rezession",13
"ausschließlich",13
"management",13
"engagement",13
"zusätzliche",13
"übernehmen",13
"entspricht",13
"vierten",13
"hotel",13
"derweil",13
"300",13
"komplett",13
"hingegen",13
"fuhr",13
"kraft",13
"feiern",13
"26.",13
"erzielte",13
"antrag",13
"wagen",13
"brasilien",13
"schule",13
"meiner",13
"helfen",13
"leisten",12
"verkauft",12
"aufgenommen",12
"konkurrenten",12
"wobei",12
"täglich",12
"starke",12
"dürften",12
"$",12
"luft",12
"beschäftigt",12
"eingestellt",12
"hannover",12
"bezahlt",12
"führen",12
"mädchen",12
"barack",12
"wies",12
"11.",12
"erhöhen",12
"erwartungen",12
"huber",12
"holz",12
"netz",12
"begonnen",12
"ausland",12
"präsidenten",12
"gestiegen",12
"wechsel",12
"ansonsten",12
"globalen",12
"klare",12
"fahrzeuge",12
"gefallen",12
"telekom",12
"12",12
"gefragt",12
"trifft",12
"ums",12
"erhöhte",12
"organisation",12
"service",12
"schneller",12
"ap",12
"schwierigen",12
"diesmal",12
"leitung",12
"fotos",12
"kostet",12
"kämpfen",12
"befindet",12
"vergeben",12
"deutscher",12
"deutschlands",12
"wort",12
"kennen",12
"allzu",12
"gehandelt",12
"näher",12
"mitglieder",12
"wohnung",12
"freiburg",12
"erinnert",12
"produkte",12
"angeblich",12
"bestehen",12
"zentrale",12
"landkreis",12
"großbritannien",12
"denken",12
"institut",12
"genutzt",12
"sonne",12
"geschlagen",12
"anzahl",12
"britischen",12
"äußerst",12
"davor",12
"geschäftsjahr",12
"zinsen",12
"gesehen",12
"wunsch",12
"meister",12
"möchte",12
"voraussichtlich",12
"staatsanwaltschaft",12
"alternative",12
"dritte",12
"zeichen",12
"reise",12
"isin",12
"unfall",12
"französische",12
"verhalten",12
"konzert",12
"vorn",12
"hälfte",12
"ehemaligen",12
"patienten",12
"kritisierte",12
"afp",12
"verkaufen",12
"paris",12
"durchaus",12
"geschafft",12
"sehe",12
"gewonnen",12
"hören",11
"ceo",11
"london",11
"galt",11
"gelegt",11
"daraus",11
"europas",11
"richtig",11
"beziehungen",11
"energie",11
"beamte",11
"freien",11
"19.",11
"meinung",11
"sank",11
"erlitt",11
"bonn",11
"erreichte",11
"erhält",11
"nachfolger",11
"essen",11
"industrie",11
"staaten",11
"bilden",11
"united",11
"stattfinden",11
"diskussion",11
"rede",11
"frühere",11
"2002",11
"sogenannten",11
"drittel",11
"niedersachsen",11
"cent",11
"zahlreiche",11
"blieben",11
"gehe",11
"genug",11
"genannten",11
"ganzen",11
"höhere",11
"wirken",11
"kauf",11
"unbedingt",11
"6",11
"beteiligen",11
"buch",11
"analyse",11
"gleiche",11
"berichten",11
"auftakt",11
"kurt",11
"traf",11
"einfluss",11
"lehrer",11
"längst",11
"hessen",11
"verwendet",11
"stuttgart",11
"türkei",11
"bundestrainer",11
"gegangen",11
"unten",11
"gezeigt",11
"nahm",11
"bekam",11
"werk",11
"23.",11
"5",11
"technisch",11
"sichern",11
"65",11
"startet",11
"beziehungsweise",11
"versprechen",11
"kirche",11
"brach",11
"bmw",11
"spaß",11
"bleibe",11
"branche",11
"sogenannte",11
"stiegen",11
"sucht",11
"voller",11
"zeitweise",11
"x",11
"überwiegend",11
"gefahren",11
"somit",11
"reicht",11
"stunde",11
"klein",11
"wähler",11
"allianz",11
"teilt",11
"hielt",11
"kopf",11
"außerhalb",11
"abschluss",11
"hofft",11
"hoffen",11
"agentur",11
"wachstum",11
"dahin",11
"kräftig",11
"live",11
"b",11
"lautet",11
"studenten",11
"400",11
"versuch",11
"vertreten",11
"zieht",11
"gold",11
"dienst",11
"klasse",11
"allgemeinen",11
"nannte",11
"ausgestattet",11
"besseren",11
"alleine",11
"vorteil",11
"clinton",11
"bern",11
"nennt",11
"karl",11
"horst",11
"bekannte",11
"privaten",11
"genannt",11
"geplant",11
"fischer",11
"letzter",11
"bremen",11
"gespräche",11
"800",11
"standort",11
"großer",11
"zentrum",11
"bundeswehr",11
"grenzen",10
"john",10
"auflösung",10
"hauptversammlung",10
"cents",10
"konsequenzen",10
"konstanz",10
"löw",10
"aktiencheck.de",10
"beteiligung",10
"baden-württemberg",10
"einzelnen",10
"rechten",10
"rechnet",10
"einnahmen",10
"linke",10
"roland",10
"mainz",10
"italien",10
"modell",10
"freund",10
"beendet",10
"musiker",10
"boden",10
"fdp",10
"bochum",10
"ben",10
"name",10
"nahezu",10
"tour",10
"opel",10
"minute",10
"handy",10
"begleitet",10
"bundesliga",10
"offiziell",10
"führte",10
"samsung",10
"1,4",10
"schweren",10
"gelände",10
"gang",10
"pc",10
"gerechnet",10
"hersteller",10
"hoffnung",10
"größer",10
"becker",10
"spanien",10
"gesorgt",10
"sprache",10
"gesucht",10
"richtigen",10
"21",10
"festgenommen",10
"gewinne",10
"setzten",10
"arbeitgeber",10
"gast",10
"heraus",10
"pläne",10
"strecke",10
"teile",10
"frankfurter",10
"sicherlich",10
"gezogen",10
"kölner",10
"kürzlich",10
"stellten",10
"hart",10
"bessere",10
"erwin",10
"ideen",10
"verdienen",10
"europäische",10
"tätig",10
"washington",10
"entsprechende",10
"gemeinde",10
"handeln",10
"25.",10
"brand",10
"aufs",10
"gehalten",10
"spielte",10
"fonds",10
"csu",10
"steinbrück",10
"hintergrund",10
"parteien",10
"stärken",10
"aufbau",10
"1,5",10
"rettungspaket",10
"bildung",10
"zuschauern",10
"schreiben",10
"wettbewerb",10
"...",10
"times",10
"weihnachten",10
"zürich",10
"verhindern",10
"ärzte",10
"größere",10
"600",10
"auswirkungen",10
"van",10
"zugleich",10
"afghanistan",10
"leichter",10
"spät",10
"aufsteiger",10
"8",10
"fahrzeug",10
"em",10
"mittel",10
"entsprechenden",10
"mitteilte",10
"runden",10
"gas",10
"nein",10
"eröffnet",10
"neuer",10
"kletterte",10
"umwelt",10
"training",10
"verbraucher",10
"gelungen",10
"euch",10
"koch",10
"fälle",10
"31.",10
"investoren",10
"fährt",10
"notwendig",10
"verschiedene",10
"konkurrenz",10
"genauso",10
"kontakt",10
"forscher",10
"jörg",10
"2,5",10
"berg",10
"fallen",10
"werke",10
"autofahrer",10
"ausreichend",10
"schmidt",10
"schwere",10
"gemeinsamen",10
"57",10
"gesetzt",10
"gesprächen",10
"laufe",10
"einiges",9
"design",9
"wesentlich",9
"verdient",9
"jemand",9
"unglück",9
"elf",9
"dortmund",9
"wachsen",9
"moment",9
"aktiv",9
"england",9
"autor",9
"12.",9
"fsv",9
"freunden",9
"freunde",9
"freundin",9
"linkspartei",9
"papiere",9
"regel",9
"bedarf",9
"aktionen",9
"beraten",9
"beginnen",9
"schauspieler",9
"münchner",9
"nase",9
"nutzung",9
"besondere",9
"natur",9
"positionen",9
"nord",9
"beteiligten",9
"heimat",9
"unterschied",9
"unserem",9
"gelang",9
"früheren",9
"grad",9
"offenen",9
"ankündigung",9
"warten",9
"verbindung",9
"1:1",9
"themen",9
"2007.",9
"schwieriger",9
"selten",9
"geschehen",9
"holen",9
"trend",9
"treffer",9
"version",9
"sieger",9
"herz",9
"gelten",9
"organisiert",9
"strategie",9
"vortag",9
"coach",9
"suchen",9
"bundesweit",9
"firmen",9
"insel",9
"34",9
"droht",9
"ballack",9
"laufende",9
"ruhe",9
"positive",9
"lieber",9
"ausdrücklich",9
"2001",9
"tiefer",9
"bekannten",9
"trat",9
"computer",9
"weißen",9
"1992",9
"meinem",9
"investitionen",9
"ordnung",9
"herbst",9
"geplante",9
"erfahren",9
"intel",9
"unverletzt",9
"general",9
"besonderen",9
"geschäfte",9
"ans",9
"helmut",9
"anfrage",9
"vierte",9
"überrascht",9
"27.",9
"nahmen",9
"rande",9
"rechnung",9
"premiere",9
"glauben",9
"iran",9
"richter",9
"fällen",9
"angriff",9
"roten",9
"telefon",9
"ziehen",9
"wichtigste",9
"bündnis",9
"arbeitslosigkeit",9
"",9
"ausgaben",9
"deswegen",9
"satz",9
"zufrieden",9
"2:0",9
"wirtschaftliche",9
"trägt",9
"wächst",9
"produziert",9
"dauert",9
"»",9
"jena",9
"wissenschaftler",9
"wiederum",9
"wahlkampf",9
"weist",9
"überraschung",9
"vorjahreszeitraum",9
"ziele",9
"lufthansa",9
"finanzielle",9
"gesprochen",9
"einschätzung",9
"mccain",9
"bauern",9
"bayerischen",9
"bayer",9
"club",9
"ard",9
"bedingungen",9
"erfahrung",9
"behandelt",9
"entstehen",9
"erleben",9
"ermöglichen",9
"tiere",9
"ermittler",9
"erstes",9
"nationale",9
"motto",9
"traum",9
"erscheint",9
"nachrichten",9
"aussagen",9
"ermittelt",9
"öffentliche",9
"übernimmt",9
"verluste",9
"dresdner",9
"umbau",9
"unmittelbar",9
"operative",9
"osten",9
"open",9
"herzen",9
"anderes",9
"vereine",9
"rückstand",9
"umgesetzt",9
"weltweiten",9
"freute",9
"freude",9
"daimler",9
"news",9
"bewusst",9
"diesjährigen",9
"klage",9
"rote",9
"peer",9
"league",9
"beschäftigte",9
"duisburg",9
"schluss",9
"praktisch",9
"serie",9
"spekulationen",9
"glück",9
"spätestens",9
"staatliche",9
"gewalt",9
"ständig",9
"programme",9
"technik",8
"grundlage",8
"tisch",8
"unterschiedliche",8
"willen",8
"vormittag",8
"jährlich",8
"15.",8
"daß",8
"weiterer",8
"vollständig",8
"christoph",8
"zdf",8
"jpy",8
"einiger",8
"1000",8
"hitzfeld",8
"kultur",8
"kurzfristig",8
"matthias",8
"bitte",8
"betreiber",8
"straßen",8
"schlagen",8
"hd",8
"rainer",8
"qualifikation",8
"quadratmeter",8
"gesicht",8
"konflikt",8
"barcelona",8
"bearbeitet",8
"bezeichnet",8
"japan",8
"freue",8
"männern",8
"möglichst",8
"bagdad",8
"liter",8
"rock",8
"band",8
"wege",8
"bedroht",8
"markus",8
"mehrmals",8
"entscheidungen",8
"pause",8
"wählen",8
"ermöglicht",8
"großteil",8
"nokia",8
"ursprünglich",8
"financial",8
"spanier",8
"bestand",8
"plattform",8
"plötzlich",8
"gesunken",8
"tut",8
"rechner",8
"rathaus",8
"frank",8
"süden",8
"früh",8
"richtet",8
"aussicht",8
"form",8
"gehöre",8
"fuß",8
"fehlen",8
"häufiger",8
"2013",8
"schlüssel",8
"schnellen",8
"abstimmung",8
"playstation",8
"ausbildung",8
"ansicht",8
"gelassen",8
"see",8
"egal",8
"beobachtet",8
"siemens",8
"&ndash",8
"halte",8
"schutz",8
"tv",8
"«wenn",8
"westlb",8
"24.",8
"helfer",8
"kleiner",8
"schalke",8
"geringer",8
"geschaffen",8
"veränderungen",8
"herr",8
"folgte",8
"rat",8
"berufung",8
"gesetzlichen",8
"sprecherin",8
